video_id,max_score,category,critical_visual,critical_audio,n_critical_visual,n_critical_audio
0xfJy96HJqo_50_2,17.7804,scene_cut_or_visual,max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,,4,0
2ShZKR5Uo2I_143_1,24.2657,mixed,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|blending_variance,min_temporal_anomaly|temporal_sync_variance,4,2
2ebb3RTJrIQ_8_1,27.8219,mixed,max_blur_flicker|blinking_variance|mouth_movement_variance|iris_jitter_variance|max_blending_flicker|blending_variance,wer_score|temporal_sync_variance,6,2
30iBb8h9EQY_31_2,16.9508,mixed,max_kinematic_flicker|max_rigid_violation,wer_score,2,1
3WeKhzm_b1s_37_1,29.3787,mixed,mean_landmark_jitter,wer_score|vocal_jitter_relative|vocal_shimmer_relative,1,3
3WeKhzm_b1s_41_1,27.6006,mixed,mean_landmark_jitter,wer_score|vocal_jitter_relative|vocal_shimmer_relative,1,3
4FT5RYuifwE_30_1,16.0499,mixed,max_blur_flicker|blur_flicker_variance|mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,temporal_anomaly,7,1
4FT5RYuifwE_45_2,25.0706,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_rigid_violation|max_blending_flicker|blending_variance,,5,0
6jpIQJCiVZI_9_2,17.7693,mixed,max_blur_flicker|blur_flicker_variance,semantic_anomaly|min_cosine_anomaly,2,2
7FR-egvR9Js_27_1,47.3038,mixed,blinking_variance|mouth_movement_variance|iris_jitter_variance,wer_score,3,1
7GN10u6F9m0_297_1,34.5849,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation,wer_score|temporal_sync_variance,6,2
7GN10u6F9m0_42_2,15.5422,mixed,iris_jitter_variance,wer_score|temporal_sync_variance,1,2
7N-mvmbeX2Y_306_1,19.8747,mixed,gaze_anomaly,min_temporal_anomaly,1,1
99kfQqIiJcg_55_4,17.1451,mixed,max_kinematic_flicker|max_blending_flicker|blending_variance,wer_score,3,1
99kfQqIiJcg_83_3,15.8593,mixed,max_kinematic_flicker|max_blending_flicker|blending_variance,temporal_sync_variance|vocal_shimmer_relative,3,2
9C7jAAxWnqA_140_1,25.5308,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max|mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation,,7,0
9Usg00PWG-4_11_1,23.042,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|max_kinematic_flicker|max_rigid_violation|blinking_variance|mouth_movement_variance,temporal_sync_variance,7,1
9Usg00PWG-4_5_1,18.7904,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,temporal_sync_variance,7,1
9Usg00PWG-4_8_1,20.4489,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|max_kinematic_flicker|max_rigid_violation,,5,0
AW3klebbNYY_134_2,17.5015,mixed,max_blur_flicker|blur_flicker_variance|max_rigid_violation,semantic_anomaly|min_cosine_anomaly|temporal_sync_variance,3,3
CeUoS2T2hhc_21_1,19.7508,mixed,max_blur_flicker|max_texture_flicker|max_kinematic_flicker|max_rigid_violation,wer_score,4,1
CuxfTrIIOr4_11_1,31.7707,off_screen_speaker,,wer_score,0,1
CuxfTrIIOr4_16_2,24.2783,scene_cut_or_visual,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation,,3,0
CuxfTrIIOr4_8_1,22.9909,mixed,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation,vocal_jitter_relative,3,1
DY4_A2Kr8dM_180_5,16.3345,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max,,4,0
DY4_A2Kr8dM_82_1,22.7257,mixed,blinking_variance|mouth_movement_variance,wer_score,2,1
DcZfy77FJKc_2_37,19.2989,scene_cut_or_visual,max_blur_flicker|max_blending_flicker|blending_variance,,3,0
DcZfy77FJKc_30_2,16.0504,off_screen_speaker,,temporal_sync_variance,0,1
DdlTvyQl5ws_19_3,24.5959,mixed,max_texture_flicker|mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation,wer_score|temporal_sync_variance|vocal_jitter_relative|vocal_shimmer_relative,4,4
GRgqbsP_-uw_73_1,23.4592,scene_cut_or_visual,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,,5,0
I-B_Oa6_eNU_17_1,18.1569,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max,min_cosine_anomaly|temporal_anomaly,4,2
I-B_Oa6_eNU_183_2,69.3564,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max,semantic_anomaly|min_cosine_anomaly|vocal_shimmer_relative,4,3
I-B_Oa6_eNU_204_4,17.7116,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance,,2,0
I-B_Oa6_eNU_295_1,136.724,mixed,max_blur_flicker|blur_flicker_variance|blending_variance,vocal_shimmer_relative,3,1
I-B_Oa6_eNU_297_1,24.5905,mixed,max_blur_flicker|blur_flicker_variance|asymmetry_max,semantic_anomaly|min_cosine_anomaly,3,2
I-B_Oa6_eNU_297_2,25.9514,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max|max_blending_flicker|blending_variance,,6,0
I-B_Oa6_eNU_40_1,50.0614,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker,,3,0
I-B_Oa6_eNU_55_1,19.1096,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker,,3,0
I2s4msDXNgw_6_2,16.8903,mixed,max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,wer_score|temporal_sync_variance,4,2
I5oeY5O5oJI_10_1,32.6701,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|max_rigid_violation,temporal_sync_variance,4,1
